HFA,KFA,AFA,HAA,KVA,AVA,KVM,GRF,KFM,ASF,H/Q,T/G,ACL stress
34.7089975,29.58820694,23.12976567,19.03787307,0.31828474,-6.66754438,-0.096035587,0.012248218,0.031357623,2.059493971,0.723612896,0.405804703,2.123071453
35.47544413,35.07796143,24.55779556,19.65243524,-1.68426976,-5.70151954,-0.464358154,0.116826109,0.043047536,1.644062186,0.822466399,0.302247149,1.962334047
37.4201482,30.2733995,25.09122598,18.34813268,-0.56500793,-5.77081212,-0.185456995,0.014159497,0.027759071,1.115511397,0.734727616,0.711868166,2.095777379
40.78658219,35.54796467,29.9244234,17.71042666,-0.45927609,-7.37319789,-0.167720014,0.062266163,0.030922985,1.866017415,0.784511659,0.533915092,1.960069456
41.10798468,34.43792153,28.87588544,16.57026361,0.2515406,-7.69370798,-0.194318548,0.048424218,0.029798541,1.300139407,0.72329956,0.430975121,2.008098339
41.62784565,35.37083296,29.7532117,16.66825588,-0.6296586,-6.72332184,-0.177867026,0.000473973,0.021954882,1.403619618,0.781826664,0.612362087,2.007940398
41.73170223,31.83529479,29.96435634,19.26528235,-0.2202176,-6.10864829,-0.326197768,0.213764884,0.022833433,1.580807234,0.779629911,0.313519384,2.003998826
34.45489076,28.55988378,29.55026772,24.72570987,-0.91846813,-7.48356473,-0.200747762,0.101142639,0.025899488,1.505211889,0.706517293,0.264309113,2.131385141
39.14373511,30.30123484,28.13855126,24.21637637,-0.05166645,-2.66186187,0.065431388,0.109911782,0.005961678,0.281926596,0.753074487,1.188785225,2.067207541
37.64125135,28.56866802,30.03386093,24.13078051,0.4968161,-5.96038559,-0.120342344,0.087340558,0.032363179,1.271198154,0.716890011,1.348351105,2.138862525
34.98803322,28.79804826,29.46021888,25.63901866,-0.34209086,-4.88092519,-0.46378546,0.120349701,0.032325648,0.338909454,0.733483167,0.194215422,2.125587957
42.31436954,27.88960911,28.0913913,26.51748741,-2.26708665,-4.79196342,-0.111505761,0.072010517,0.017811781,1.597821776,0.604911397,0.214521192,2.163176515
33.72591796,24.12066365,26.92942957,23.44499953,1.4477583,-3.98297803,-0.361199877,0.076990327,0.018946106,1.264922754,0.637976949,0.291146306,2.241879228
34.25440274,24.61599669,26.96842354,22.66694254,1.03781969,-4.32973211,-0.458595458,0.047552612,0.014759573,0.539991875,0.611346138,0.511985398,2.237433944
30.97967678,24.60881872,28.73474644,23.70262842,0.96489103,-4.0654212,-0.122320305,0.06467102,0.035018323,0.393062293,0.635204293,0.375078748,2.223411855
36.87820961,33.33867725,-7.33597237,17.61908787,3.39829695,-5.47056288,-0.123817409,-0.001962925,0.029674782,1.725368998,0.774637437,0.396829573,2.004375747
30.51714196,32.07816456,-8.57186614,15.66590753,5.55910057,-3.23952833,-0.210927905,0.068431129,0.022032556,1.135878941,0.753271801,0.214510976,2.043658126
33.41441384,34.66883506,-8.9337759,17.97759599,5.98074644,-3.96485348,-0.173806952,0.145259361,0.027265119,1.293522647,0.785543453,0.245214755,1.986557796
39.00246834,36.26675454,-6.59433435,14.96122229,3.74244776,-5.04181969,-0.170753829,0.08432717,0.030363476,1.085564161,0.786676559,0.357563425,1.960069456
33.55122958,32.85188306,-9.59365211,21.11686483,3.94616925,-6.19179432,0.000046656,0.049160286,-0.008404415,1.115508381,0.771883616,0.364582055,2.008098339
