HFA,KFA,HAA,KVA,AVA,KVM,KFM,ASF,H/Q,ACL stress
39.74591285,37.72452004,33.23192917,9.21640056,-5.43287653,-0.078892737,0.055913604,-0.451810041,0.650981965,2.242469941
39.74591285,37.72452004,33.23192917,9.21640056,-5.43287653,0.071015148,0.024761726,2.87725155,0.771935545,2.007279387
39.70213699,35.31115108,16.521897,-1.35022033,-5.69274231,0.014647804,0.047855212,2.840477808,0.776110548,1.963951701
39.6768768,32.93929922,34.94873815,13.20082228,-3.12809202,-0.01181551,0.037054514,1.120070763,0.753784266,2.112910872
39.48549058,35.35257531,17.60817171,-0.66064867,-7.22303208,0.030173285,0.06577695,3.116878759,0.841998716,1.931170261
39.14373511,30.30123484,24.21637637,-0.05166645,-2.66186187,-0.011359616,0.005961678,3.023990702,0.753074487,2.067207541
39.00246834,36.26675454,14.96122229,3.74244776,-5.04181969,0.029644762,0.030363476,2.531280042,0.786676559,1.960069456
38.72490965,44.08012736,19.42732491,1.37185575,-2.51706046,0.069175667,0.012933504,0.949200803,0.852452629,1.778772229
38.6636388,42.0238966,15.57054642,2.67966366,-2.332529,0.075637363,0.063288578,2.307442066,0.857235255,1.931170261
38.64476853,45.22953104,19.71923978,1.62251421,0.68076762,0.132760749,0.037728244,2.190642742,0.867921013,1.750989243
38.60380445,38.854937,18.97695715,2.62506763,-4.50247092,0.026441606,0.01740419,1.076639952,0.830953612,1.890721489
38.59978525,31.45116718,23.38923042,1.26408535,1.53581577,0.069710918,0.020962646,2.270147574,0.760190024,2.009172997
38.33878995,39.48595334,19.38127575,1.74995641,-1.5002925,0.033537783,0.017346363,0.983815126,0.736501865,1.862607724
38.15922847,38.89110143,35.21820766,11.04503399,-5.21171015,-0.000169269,0.093819408,0.546381639,0.618662886,1.93556365
37.87973782,34.89722419,31.00321829,8.42215447,-5.49178512,-0.042574048,0.059897646,1.299503651,0.745849211,2.063925817
37.64125135,28.56866802,24.13078051,0.4968161,-5.96038559,0.020892768,0.032363179,3.170063248,0.716890011,2.138862525
37.43733184,30.03520948,35.94088496,10.52548594,-2.1788398,0.042808213,0.077548075,2.679638647,0.652378913,2.090216278
37.4201482,30.2733995,18.34813268,-0.56500793,-5.77081212,0.032197395,0.027759071,3.123964762,0.734727616,2.095777379
37.41667577,32.05492379,18.03076602,-0.48153814,-5.27120824,0.037723484,0.049326329,2.642921049,0.775377168,2.027856783
37.39932618,38.84480539,17.79758503,3.63006792,-1.33265841,0.050442435,0.017446228,2.08731103,0.823524914,1.887515208
37.3122037,29.73355644,23.34184059,1.54984101,-4.09932101,0.016211366,0.044897078,2.919645151,0.727629776,2.081360988
37.26341083,31.52690299,18.61711647,12.09984498,-3.62873914,-0.065903193,0.065800985,-1.494173245,0.728180728,2.126337491
37.23402018,50.26720166,16.85915911,14.90558959,-4.82830658,0.051823789,0.033775221,0.303618706,0.907452652,1.718492411
37.01443979,34.69348186,23.92985776,8.87422381,-2.12639667,0.077553183,0.041748882,4.037467663,0.756108093,2.053906206
37.01017187,41.56616954,22.39504184,0.76831788,-1.99096174,0.105186173,0.049629694,3.354746808,0.863811771,1.822396385
37.00970384,36.66072177,21.92374425,1.16756606,-3.78894837,0.027490313,0.021830966,2.686268451,0.738770839,1.92461308
36.87820961,33.33867725,17.61908787,3.39829695,-5.47056288,0.021496078,0.029674782,2.710841471,0.774637437,2.004375747
36.26646882,28.80476977,16.82946487,10.56719408,-5.61940069,0.002200588,0.039277652,-0.756331477,0.656986036,2.205379005
36.20627903,49.79123526,14.25591109,16.2989469,-7.1920072,0.039888669,0.04216805,1.687150186,0.843672939,1.764420358
35.91064423,36.0659333,31.04922093,7.00607393,-2.43683194,0.030625603,0.058731,2.663907617,0.760712407,2.010038331
35.78899839,34.55698582,21.87430544,4.1731682,-2.21280824,0.025292731,0.013463113,0.928770404,0.79987386,1.983684904
35.5843641,40.2153717,22.22078087,3.34357462,1.02491387,0.083561513,-0.013979642,1.547954253,0.864878823,1.861835767
35.47544413,35.07796143,19.65243524,-1.68426976,-5.70151954,0.080617735,0.043047536,2.143964278,0.822466399,1.962334047
35.19051753,24.96812575,31.94520865,6.78064096,-0.5116602,-0.100971814,0.06000342,-0.640174826,0.661414929,2.272668559
35.0822788,28.57822107,24.61144553,1.62687536,-3.03992537,0.002223396,0.059736083,1.952438095,0.664337488,2.071460177
35.03291198,35.21798201,19.33149378,-0.09862713,-4.74313114,0.075323477,0.071112938,2.66197242,0.848862541,1.907732737
34.98803322,28.79804826,25.63901866,-0.34209086,-4.88092519,0.080518309,0.032325648,3.070905117,0.733483167,2.125587957
34.7089975,29.58820694,19.03787307,0.31828474,-6.66754438,0.016672845,0.031357623,3.301261675,0.723612896,2.123071453
34.45489076,28.55988378,24.72570987,-0.91846813,-7.48356473,0.034852042,0.025899488,3.505551277,0.706517293,2.131385141
34.45296623,30.27633199,18.45411376,1.27942745,-4.87154868,0.036772084,0.082282118,4.141293471,0.741395033,2.060187175
34.45173493,22.31041771,32.45961831,7.61491502,-5.11761606,-0.009563777,0.033263482,0.038638142,0.574857434,2.348394912
34.39020732,24.25067696,27.21401502,8.09735555,-4.57810006,-0.000576819,0.038006526,-0.330796676,0.59023431,2.313935943
34.26556255,28.31597863,18.63482989,10.31189279,-10.66168838,0.023362529,0.042600354,-0.519097155,0.674488513,2.247787795
34.25440274,24.61599669,22.66694254,1.03781969,-4.32973211,0.079617267,0.014759573,2.923386942,0.611346138,2.237433944
34.24208554,25.3878506,21.98859642,6.7588517,-2.05296402,-0.059447886,0.061215405,-0.758695641,0.626026224,2.27539902
34.03037684,34.23775049,22.84691854,4.96406769,-0.04914379,0.017708499,0.042355277,2.859828965,0.743434566,1.986673661
34.02473293,39.86733809,22.7866794,4.42492319,2.05701094,0.06318231,0.005342518,0.837924622,0.876629503,1.868846232
33.9959609,26.56871699,22.00956312,1.76998289,-1.61540322,0.01611611,0.038868734,2.986889618,0.686404511,2.158759245
33.88255413,18.51178136,30.59764742,5.49459689,-5.83899818,-0.101141024,0.051168076,-0.367238465,0.50386622,2.390257368
33.8295252,33.04960738,22.10477746,5.3420535,-1.71245058,0.021261665,0.01986989,2.648595491,0.770114591,2.020425028
33.82219864,35.98416133,22.81703542,2.87364315,-1.8296066,0.018032903,0.074435812,3.085173545,0.814552803,1.958769936
33.81656391,26.45577692,23.35851067,2.39175013,-1.18619772,-0.05566293,0.062153813,2.947920333,0.697844068,2.156357471
33.72591796,24.12066365,23.44499953,1.4477583,-3.98297803,0.062708312,0.018946106,2.851140969,0.637976949,2.241879228
33.65791158,40.91923814,22.80665173,2.66682025,1.7695493,0.068655909,0.051160203,3.493138613,0.86777984,1.844320182
33.55122958,32.85188306,21.11686483,3.94616925,-6.19179432,-8.10E-06,-0.008404415,2.110688826,0.771883616,2.008098339
33.48264787,25.81698623,26.18050082,7.53087293,-0.49578025,-0.092880925,0.060832398,-0.801437795,0.644768219,2.253108236
33.4574236,38.57100154,22.10277164,4.9997584,1.09118251,0.042653958,0.007665155,1.457927207,0.815447013,1.907983267
33.41441384,34.66883506,17.97759599,5.98074644,-3.96485348,0.030174818,0.027265119,1.849738757,0.785543453,1.986557796
33.37654708,33.17984029,20.20141363,2.89215701,-3.2516486,0.024283099,0.036827427,2.266230957,0.767977902,2.007940398
33.37512321,17.17158338,31.67238204,5.15719448,-11.6572093,-0.063495689,0.041453495,0.000494368,0.513851831,2.44353305
33.29010427,27.99826674,19.47418227,9.41767092,-8.6695083,-0.056091883,0.047269346,-0.696594031,0.819057711,2.212953841
33.26982895,25.25690369,32.79957826,7.21251386,-1.9577222,-0.081177771,0.059007737,-0.690027102,0.64609757,2.254321422
33.13164363,38.34753029,20.66422278,1.57725531,-1.86428007,0.054696335,0.048219268,2.333032825,0.780361839,1.963951701
33.10610331,29.2913188,24.44775595,0.14354326,-6.02689309,0.079553021,0.080990039,3.510530462,0.802221784,2.077525896
32.99911656,30.99427681,23.43527344,3.8284331,-0.84926634,0.019871585,0.024641229,2.712603789,0.756135975,2.077377988
32.92269892,38.54885939,21.47981553,2.86395216,-3.63930201,0.015453547,0.024313188,2.349633299,0.866457022,1.945729026
32.91362694,22.72285337,21.81008178,6.59179306,-5.40043843,-0.025164259,0.030633862,-0.417634587,0.584954359,2.356694128
32.82249732,40.75852135,18.73252398,3.2170999,-4.00851212,0.083299232,0.00048082,2.377591674,0.799261384,1.870246057
32.50462146,35.87796285,23.62491655,4.16519611,1.41967642,0.03450174,0.017513633,2.078798127,0.750324055,1.96354891
32.4884537,30.22350695,23.51299982,5.18058818,-2.89062951,0.040047885,0.047575212,2.984200582,0.742083819,2.06516298
32.13221357,36.2783162,23.71939441,5.19986855,0.43025481,0.057981383,0.023198245,3.079127261,0.83406867,1.944062692
31.92694941,22.62101937,33.88467759,6.7260547,-7.11409944,0.002609016,0.030808775,-0.319413247,0.63352145,2.329114046
31.81587863,36.85548359,24.21031184,2.56394096,3.66146454,0.023716499,0.018507255,0.486160017,0.802579127,1.935883393
31.61680319,26.50751029,32.18552834,9.32777264,-1.8010605,-0.085603992,0.044953676,3.226227437,0.629837355,2.24108495
31.50829506,31.16902287,24.23512748,3.32074883,1.84512135,0.043283313,0.013543426,2.724248923,0.766033238,2.065377531
31.46671024,23.90667268,33.411313,9.7322255,-5.80756772,0.034847241,0.028458564,2.818853665,0.633152136,2.30992792
31.44232586,30.56135603,20.95150381,10.41319978,-9.15017974,0.050019456,0.028607401,2.445031701,0.720396269,2.160745027
31.41580541,23.97375841,33.31954135,6.04677908,-5.16233565,-0.075691075,0.052287466,-0.483960888,0.632207288,2.292507551
30.97967678,24.60881872,23.70262842,0.96489103,-4.0654212,0.021236164,0.035018323,3.016048992,0.635204293,2.223411855
30.89544539,31.74402426,22.93240252,4.02749047,0.41796623,0.020820378,0.019376439,2.680947035,0.734153338,2.044376389
30.86474877,25.99057174,22.90040453,2.08917651,-1.45992262,0.058332955,0.052728358,2.836491327,0.672952503,2.151404518
30.78663032,35.24511119,27.16183042,5.05966124,-9.68625618,-0.005166153,0.035429789,0.120595099,0.549227284,2.427450248
30.78663032,35.24511119,27.16183042,5.05966124,-9.68625618,0.023533671,0.040397626,1.799482877,0.751018713,2.063162167
30.77657785,30.89064034,20.95129798,8.38009315,-4.33620964,0.04487887,0.030828341,2.509185379,0.705411483,2.127659463
30.69632753,37.40740659,16.19166145,4.45957156,-1.26029169,-0.022240168,0.050937161,3.018321268,0.84527427,1.932674554
30.51714196,32.07816456,15.66590753,5.55910057,-3.23952833,0.036619428,0.022032556,1.853129957,0.753271801,2.043658126
30.47883702,21.64953244,35.00579323,6.67636183,-9.27071148,-0.02974251,0.042980789,-0.237821653,0.683225159,2.35657722
30.29060163,36.83201367,23.16698938,3.19946883,3.13631466,0.057682539,-0.003516523,1.933065037,0.816028658,1.936490916
30.12855213,35.08036804,23.266878,5.10796688,1.00190892,0.056075656,-0.006399909,2.167368501,0.773985436,1.970665974
29.9545832,29.01999011,23.57715859,6.00089431,-1.14823741,0.008107561,0.045488705,2.7375494,0.683843587,2.094526297
29.03724981,38.11564172,28.27083315,6.78777479,-5.62336747,-0.111465957,0.057588263,-0.348561839,0.524823317,2.373353053
